nombre,correo,departamento
Juan Pérez Rodríguez,juan.perez@empresa.com,Ventas
María González López,maria.gonzalez@empresa.com,Atención al Cliente
Carlos Jiménez Mora,carlos.jimenez@empresa.com,Inventario
Ana Sofía Vargas,ana.vargas@empresa.com,Caja
Luis Fernando Castro,luis.castro@empresa.com,Seguridad
Patricia Rojas Solano,patricia.rojas@empresa.com,Limpieza
Roberto Méndez Quesada,roberto.mendez@empresa.com,Almacén
Gabriela Herrera Vega,gabriela.herrera@empresa.com,Ventas
Diego Alvarado Núñez,diego.alvarado@empresa.com,Atención al Cliente
Carmen Elizondo Salas,carmen.elizondo@empresa.com,Caja
